iter	Logloss
0	0.6563787221
1	0.6252768754
2	0.5981096743
3	0.5742875683
4	0.5521891174
5	0.5338205946
6	0.5171392889
7	0.5027682494
8	0.4910414145
9	0.4806762322
10	0.4743343532
11	0.4648977432
12	0.4581623912
13	0.4517755918
14	0.4451140439
15	0.4402471529
16	0.4354201456
17	0.4310491507
18	0.4260279519
19	0.4222004368
20	0.418862658
21	0.4154810935
22	0.4129715046
23	0.4115076772
24	0.4083808497
25	0.4061404943
26	0.4037223273
27	0.4021796976
28	0.3998376583
29	0.3984592765
30	0.3973558177
31	0.3953634191
32	0.3950184811
33	0.3944672327
34	0.3924892465
35	0.3909270682
36	0.3895796327
37	0.3887887768
38	0.3877189542
39	0.3865339866
40	0.385387869
41	0.3841547443
42	0.3830694922
43	0.3820037933
44	0.3817337141
45	0.3805582486
46	0.3795490825
47	0.3783507025
48	0.3774630493
49	0.3767202106
50	0.3760851345
51	0.3755332622
52	0.3739434392
53	0.3732829474
54	0.3723442929
55	0.3714784858
56	0.3697384688
57	0.3696044618
58	0.3689804425
59	0.3678947912
60	0.3673249843
61	0.3670337428
62	0.36661841
63	0.3660142163
64	0.3651387888
65	0.3646340683
66	0.3640973768
67	0.363723168
68	0.3632780283
69	0.3628712798
70	0.3618061249
71	0.3614488685
72	0.360530456
73	0.3599393015
74	0.3585216789
75	0.3581968361
76	0.3576555232
77	0.3572554252
78	0.3566382147
79	0.3562245493
80	0.3554886363
81	0.3550208022
82	0.3540329645
83	0.3538280363
84	0.3535977744
85	0.3533338398
86	0.3528396725
87	0.3523935811
88	0.351789474
89	0.3516613214
90	0.3508157624
91	0.3503700922
92	0.3496367234
93	0.3495193669
94	0.3493713853
95	0.3492640631
96	0.3490002504
97	0.3486551824
98	0.3484534236
99	0.348129107
