iter	Passed	Remaining
0	1	152
1	2	143
2	3	128
3	5	130
4	6	117
5	7	119
6	8	113
7	9	113
8	11	112
9	12	110
10	13	109
11	14	108
12	16	107
13	17	106
14	18	106
15	20	106
16	21	102
17	22	100
18	23	99
19	24	97
20	25	96
21	27	95
22	28	95
23	29	93
24	30	92
25	32	91
26	33	90
27	34	89
28	36	89
29	36	86
30	37	83
31	38	82
32	40	81
33	41	80
34	42	79
35	44	78
36	45	77
37	46	76
38	48	75
39	49	73
40	50	72
41	52	72
42	53	70
43	54	69
44	56	68
45	57	67
46	58	66
47	60	65
48	61	63
49	62	62
50	63	61
51	65	60
52	66	59
53	68	57
54	68	56
55	69	54
56	71	53
57	72	52
58	73	51
59	75	50
60	76	48
61	77	47
62	79	46
63	80	45
64	81	43
65	82	42
66	83	41
67	84	39
68	86	38
69	87	37
70	88	36
71	89	34
72	90	33
73	91	32
74	92	30
75	94	29
76	95	28
77	96	27
78	97	25
79	98	24
80	100	23
81	101	22
82	102	20
83	103	19
84	104	18
85	105	17
86	107	15
87	108	14
88	109	13
89	110	12
90	111	11
91	112	9
92	114	8
93	115	7
94	116	6
95	117	4
96	118	3
97	119	2
98	120	1
99	121	0
